id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,topics,difficulty,difficulty_score,estimated_time_seconds
algo-e-1,What does Big-O notation describe about an algorithm?,The exact running time in seconds,An upper bound on growth rate as input size increases,The minimum number of operations,The average-case performance only,An upper bound on growth rate as input size increases,Big-O gives an asymptotic upper bound on how an algorithm's time or space requirements grow relative to input size.,Algorithms,easy,2,20
algo-e-2,Which sorting algorithm repeatedly finds the minimum element and places it at the beginning?,Merge Sort,Quick Sort,Selection Sort,Insertion Sort,Selection Sort,Selection sort scans the unsorted portion for the minimum element and swaps it into the next sorted position on each pass.,Algorithms,easy,2,20
algo-e-3,What is the time complexity of linear search in the worst case?,O(1),O(log n),O(n),O(n²),O(n),Linear search checks each element one by one — in the worst case the target is last or absent requiring n comparisons.,Algorithms,easy,1,15
algo-e-4,Binary search requires the input array to be in what state?,Unsorted,Sorted,Reversed,Randomly shuffled,Sorted,Binary search halves the search space at each step which only works correctly when the array is sorted.,Algorithms,easy,2,20
algo-e-5,Which algorithm technique solves a problem by breaking it into smaller subproblems solving each recursively and combining results?,Greedy,Divide and Conquer,Backtracking,Brute Force,Divide and Conquer,Divide and conquer splits the problem into independent subproblems solves them recursively and merges the solutions.,Algorithms,easy,3,25
algo-e-6,What is the time complexity of Bubble Sort in the worst case?,O(n),O(n log n),O(n²),O(2ⁿ),O(n²),Bubble sort makes n passes through the array swapping adjacent elements — nested loops give O(n²) in the worst case.,Algorithms,easy,2,20
algo-e-7,Which search algorithm works by checking every element one by one from start to end?,Binary Search,Interpolation Search,Linear Search,Depth-First Search,Linear Search,Linear search iterates through the collection sequentially comparing each element with the target.,Algorithms,easy,1,15
algo-m-1,What is the average-case time complexity of Quick Sort?,O(n),O(n log n),O(n²),O(log n),O(n log n),Quick sort's average case partitions the array into roughly equal halves at each level of recursion giving O(n log n) comparisons.,Algorithms,medium,5,30
algo-m-2,Which algorithmic paradigm stores solutions to overlapping subproblems to avoid redundant computation?,Divide and Conquer,Dynamic Programming,Greedy,Branch and Bound,Dynamic Programming,Dynamic programming identifies overlapping subproblems and stores their results (memoization or tabulation) so each subproblem is solved only once.,Algorithms,medium,6,35
algo-m-3,In Dijkstra's shortest-path algorithm why must all edge weights be non-negative?,The algorithm uses a stack,The greedy choice assumes shorter partial paths remain shorter,Negative weights cause infinite loops,The algorithm only works on trees,The greedy choice assumes shorter partial paths remain shorter,Dijkstra greedily finalizes the shortest known distance to a node. A negative edge could later provide a shorter path to an already-finalized node violating this greedy invariant.,Algorithms,medium,6,40
algo-m-4,What is the recurrence relation for Merge Sort?,T(n) = T(n−1) + O(n),T(n) = 2T(n/2) + O(n),T(n) = T(n/2) + O(1),T(n) = 2T(n−1) + O(1),T(n) = 2T(n/2) + O(n),Merge sort splits the array into two halves (2 subproblems of size n/2) and merges them in O(n) time.,Algorithms,medium,5,30
algo-m-5,Which graph traversal algorithm uses a queue and visits nodes level by level?,Depth-First Search,Breadth-First Search,Topological Sort,A* Search,Breadth-First Search,BFS uses a FIFO queue to explore all neighbors at the current depth before moving to the next level.,Algorithms,medium,4,25
algo-m-6,A greedy algorithm for the activity selection problem sorts activities by what criterion?,Start time,Duration,Finish time,Number of conflicts,Finish time,Sorting by finish time and always picking the next compatible activity yields the maximum number of non-overlapping activities — a classic greedy strategy.,Algorithms,medium,6,35
algo-m-7,What is the worst-case time complexity of Quick Sort and when does it occur?,O(n log n) when the array is sorted,O(n²) when the pivot is always the smallest or largest element,O(n) when all elements are equal,O(n²) when the array is random,O(n²) when the pivot is always the smallest or largest element,If the pivot consistently produces maximally unbalanced partitions (e.g. already sorted array with first-element pivot) recursion depth reaches n and total work becomes O(n²).,Algorithms,medium,6,35
algo-h-1,What is the time complexity of the Knuth-Morris-Pratt (KMP) string matching algorithm?,O(n × m),O(n + m),O(n²),O(n log m),O(n + m),KMP preprocesses the pattern to build a failure function in O(m) then scans the text in O(n) — total O(n + m) without backtracking on the text.,Algorithms,hard,8,40
algo-h-2,Which problem is solved by finding a Hamiltonian cycle of minimum total weight in a complete graph?,Minimum Spanning Tree,Shortest Path,Travelling Salesman Problem,Maximum Flow,Travelling Salesman Problem,The TSP asks for the minimum-cost tour visiting every vertex exactly once and returning to the start — a Hamiltonian cycle of minimum weight.,Algorithms,hard,9,45
algo-h-3,What does the Master Theorem directly solve?,Any recurrence relation,Recurrences of the form T(n) = aT(n/b) + f(n),Recurrences with variable-size subproblems,Non-recursive running times,Recurrences of the form T(n) = aT(n/b) + f(n),The Master Theorem applies to divide-and-conquer recurrences where the problem splits into a subproblems each of size n/b with combine cost f(n).,Algorithms,hard,8,40
algo-h-4,In the context of NP-completeness what does a polynomial-time reduction from problem A to problem B prove?,A is easier than B,B is at least as hard as A,A and B have the same solution,B can be solved in polynomial time,B is at least as hard as A,If A ≤ₚ B then any polynomial-time algorithm for B would also solve A — so B is at least as hard as A.,Algorithms,hard,9,50
algo-h-5,Which algorithm finds the strongly connected components of a directed graph in O(V + E) time?,Kruskal's algorithm,Tarjan's algorithm,Prim's algorithm,Floyd-Warshall algorithm,Tarjan's algorithm,Tarjan's SCC algorithm uses a single DFS pass with a stack and low-link values to identify all strongly connected components in linear time.,Algorithms,hard,9,45
algo-h-6,What is the time complexity of the Floyd-Warshall all-pairs shortest path algorithm?,O(V²),O(V² log V),O(V³),O(V × E),O(V³),Floyd-Warshall uses three nested loops over V vertices to consider every intermediate vertex for every pair giving O(V³).,Algorithms,hard,8,40
algo-h-7,In a maximum-flow network what does the max-flow min-cut theorem state?,Maximum flow equals minimum edge weight,Maximum flow equals the capacity of the minimum cut,Maximum flow equals the number of paths,Flow is always equal to demand,Maximum flow equals the capacity of the minimum cut,The theorem proves that the value of the maximum flow from source to sink equals the total capacity of the edges in the minimum s-t cut.,Algorithms,hard,10,50
db-e-1,What does SQL stand for?,Structured Query Language,Simple Query Logic,Standard Question Language,Sequential Query Listing,Structured Query Language,SQL (Structured Query Language) is the standard language for managing and querying relational databases.,DBMS,easy,1,15
db-e-2,Which SQL keyword is used to retrieve data from a database?,INSERT,UPDATE,SELECT,CREATE,SELECT,The SELECT statement queries one or more tables and returns the matching rows as a result set.,DBMS,easy,1,15
db-e-3,A primary key in a relational database must be what?,Nullable,Unique and not null,Always an integer,Automatically generated,Unique and not null,A primary key uniquely identifies each row in a table and by definition cannot contain NULL values.,DBMS,easy,2,20
db-e-4,Which type of database relationship links one record in table A to many records in table B?,One-to-One,One-to-Many,Many-to-Many,Self-referencing,One-to-Many,A one-to-many relationship means a single row in table A can relate to multiple rows in table B — for example one department having many employees.,DBMS,easy,2,20
db-e-5,What does the WHERE clause do in a SQL query?,Sorts the results,Filters rows based on a condition,Groups rows together,Joins two tables,Filters rows based on a condition,The WHERE clause specifies a condition that each row must satisfy to be included in the query results.,DBMS,easy,1,15
db-e-6,Which SQL command is used to add a new row to a table?,SELECT,INSERT,UPDATE,ALTER,INSERT,INSERT INTO adds a new row of data to an existing table.,DBMS,easy,2,20
db-e-7,What is a foreign key?,A key that encrypts data,A column that references the primary key of another table,A unique identifier within the same table,An index on multiple columns,A column that references the primary key of another table,A foreign key creates a link between two tables by referencing the primary key in the parent table enforcing referential integrity.,DBMS,easy,2,20
db-m-1,What is the purpose of database normalization?,To speed up all queries,To reduce data redundancy and improve integrity,To encrypt sensitive data,To create backup copies,To reduce data redundancy and improve integrity,Normalization organizes tables to minimize duplicate data and dependency anomalies — each fact is stored in exactly one place.,DBMS,medium,5,30
db-m-2,Which normal form eliminates transitive dependencies?,First Normal Form (1NF),Second Normal Form (2NF),Third Normal Form (3NF),Boyce-Codd Normal Form (BCNF),Third Normal Form (3NF),3NF requires that every non-key attribute depends only on the primary key — not transitively through another non-key attribute.,DBMS,medium,6,35
db-m-3,What is the ACID property 'Atomicity' in database transactions?,All transactions run at the same time,A transaction is all-or-nothing,Data is always consistent,Transactions are isolated from each other,A transaction is all-or-nothing,Atomicity guarantees that either all operations in a transaction complete successfully or none of them take effect — partial execution is impossible.,DBMS,medium,5,30
db-m-4,Which type of SQL JOIN returns only the rows with matching values in both tables?,LEFT JOIN,RIGHT JOIN,INNER JOIN,FULL OUTER JOIN,INNER JOIN,An INNER JOIN returns only those rows where the join condition is satisfied in both tables — unmatched rows are excluded.,DBMS,medium,4,25
db-m-5,What does a database index primarily improve?,Write speed,Read query performance,Data integrity,Storage compression,Read query performance,An index creates a sorted data structure (like a B-tree) that lets the database locate rows much faster than scanning the entire table.,DBMS,medium,5,30
db-m-6,In a relational database what is a view?,A physical copy of a table,A virtual table defined by a stored query,A backup of the database,A type of stored procedure,A virtual table defined by a stored query,A view is a named SELECT query that behaves like a table but does not store data itself — it dynamically retrieves data when queried.,DBMS,medium,5,30
db-m-7,What is a deadlock in database systems?,A query that takes too long,Two transactions waiting for each other's locks indefinitely,A corrupted table,An out-of-memory error,Two transactions waiting for each other's locks indefinitely,A deadlock occurs when transaction A holds lock X and waits for lock Y while transaction B holds Y and waits for X — neither can proceed.,DBMS,medium,6,35
db-h-1,What is the difference between a clustered and a non-clustered index?,Clustered indexes are faster; non-clustered are slower,A clustered index determines physical row order; a non-clustered index uses a separate structure pointing to rows,Clustered indexes work on views; non-clustered indexes work on tables,There is no practical difference,A clustered index determines physical row order; a non-clustered index uses a separate structure pointing to rows,A clustered index sorts and stores table rows by the index key (one per table). A non-clustered index maintains a separate B-tree with pointers back to the data rows.,DBMS,hard,8,40
db-h-2,In the context of ACID what does the Isolation level 'Serializable' guarantee?,Fastest transaction processing,Transactions execute as if they were run one after another,Only read operations are isolated,Transactions share locks freely,Transactions execute as if they were run one after another,Serializable is the strictest isolation level — it ensures concurrent transactions produce the same result as some serial execution order preventing all anomalies.,DBMS,hard,9,45
db-h-3,What problem can occur at the 'Read Committed' isolation level but not at 'Repeatable Read'?,Dirty reads,Non-repeatable reads,Phantom reads,Lost updates,Non-repeatable reads,At Read Committed a transaction may see different values for the same row if another transaction commits between reads. Repeatable Read prevents this by locking read rows.,DBMS,hard,8,40
db-h-4,What is a write-ahead log (WAL) and why is it important?,A log written after transaction commit for auditing,A log written before changes are applied to disk ensuring crash recovery,A debug log for developers,A network communication log,A log written before changes are applied to disk ensuring crash recovery,WAL writes all modifications to a log file before applying them to data pages. After a crash the log can replay committed changes and undo uncommitted ones.,DBMS,hard,9,45
db-h-5,Which concurrency control protocol uses timestamps to order transactions without locks?,Two-Phase Locking (2PL),Timestamp Ordering Protocol,Optimistic Concurrency Control,Multi-Version Concurrency Control,Timestamp Ordering Protocol,The timestamp ordering protocol assigns a unique timestamp to each transaction and ensures read/write operations follow timestamp order — aborting transactions that violate the order.,DBMS,hard,9,45
db-h-6,In query optimization what does a cost-based optimizer use to choose an execution plan?,The length of the SQL statement,Statistics about table sizes and index selectivity,The order of columns in the SELECT clause,The user's role permissions,Statistics about table sizes and index selectivity,A cost-based optimizer estimates the I/O and CPU cost of different plans using statistics like row counts histogram distributions and index cardinality to pick the cheapest plan.,DBMS,hard,9,50
db-h-7,What is the CAP theorem in distributed databases?,Consistency Availability and Performance can all be achieved,You can guarantee at most two of Consistency Availability and Partition tolerance simultaneously,All databases are eventually consistent,CAP only applies to NoSQL databases,You can guarantee at most two of Consistency Availability and Partition tolerance simultaneously,The CAP theorem states that in the presence of a network partition a distributed system must choose between consistency and availability — it cannot guarantee all three.,DBMS,hard,10,50
os-e-1,What is the primary function of an operating system?,Run web browsers,Manage hardware resources and provide services to applications,Compile source code,Design user interfaces,Manage hardware resources and provide services to applications,An OS acts as an intermediary between applications and hardware — managing CPU memory storage and I/O devices.,Operating Systems,easy,2,20
os-e-2,What is a process in an operating system?,A file stored on disk,A program in execution with its own memory and state,A hardware component,A type of file system,A program in execution with its own memory and state,A process is a running instance of a program including its code data stack program counter and allocated resources.,Operating Systems,easy,2,20
os-e-3,Which scheduling algorithm gives each process an equal time slice in round-robin fashion?,First-Come First-Served,Shortest Job First,Round Robin,Priority Scheduling,Round Robin,Round Robin assigns a fixed time quantum to each process cycling through the ready queue — ensuring fair CPU sharing.,Operating Systems,easy,2,20
os-e-4,What is virtual memory?,Memory on an external USB drive,A technique that uses disk space to extend available RAM,Encrypted RAM,Cache memory on the CPU,A technique that uses disk space to extend available RAM,Virtual memory maps address spaces to physical RAM and disk so programs can use more memory than physically available. The OS swaps pages between RAM and disk as needed.,Operating Systems,easy,3,25
os-e-5,What is the difference between a thread and a process?,Threads are faster than processes,A thread is a lightweight unit of execution within a process sharing its memory space,Threads cannot run concurrently,Processes are always single-threaded,A thread is a lightweight unit of execution within a process sharing its memory space,Threads within the same process share code data and resources but each has its own stack and program counter. Processes have separate memory spaces.,Operating Systems,easy,3,25
os-e-6,What does the kernel of an operating system do?,Only manages the file system,Provides the core services including process scheduling and memory management,Runs user applications directly,Handles only network connections,Provides the core services including process scheduling and memory management,The kernel is the core component of the OS — it manages CPU scheduling memory allocation device I/O and system calls.,Operating Systems,easy,2,20
os-e-7,What is a system call?,A phone call to tech support,An interface for user programs to request services from the OS kernel,A type of interrupt,A debugging tool,An interface for user programs to request services from the OS kernel,System calls provide a controlled gateway for user-space programs to request kernel services like file I/O process creation and memory allocation.,Operating Systems,easy,2,20
os-m-1,What is a race condition?,When two programs compete for CPU time,When the outcome depends on the unpredictable order of thread execution,When a process runs too fast,When the CPU overheats,When the outcome depends on the unpredictable order of thread execution,A race condition occurs when multiple threads access shared data concurrently and the result depends on the timing of their execution — leading to unpredictable behavior.,Operating Systems,medium,5,30
os-m-2,What is the purpose of a mutex (mutual exclusion lock)?,To speed up thread execution,To ensure only one thread accesses a critical section at a time,To allocate memory to threads,To schedule threads in order,To ensure only one thread accesses a critical section at a time,A mutex prevents concurrent access to a shared resource — a thread must acquire the lock before entering the critical section and release it when done.,Operating Systems,medium,5,30
os-m-3,Which page replacement algorithm is optimal but impractical to implement?,FIFO,Least Recently Used (LRU),Optimal (Bélády's),Clock,Optimal (Bélády's),The optimal algorithm replaces the page that will not be used for the longest time in the future. It requires future knowledge making it impractical but useful as a benchmark.,Operating Systems,medium,6,35
os-m-4,What is thrashing in the context of virtual memory?,Rapid disk writes,Excessive page faults causing the system to spend more time swapping than executing,A type of disk fragmentation,Memory leaks in programs,Excessive page faults causing the system to spend more time swapping than executing,Thrashing occurs when the working set of active pages exceeds available physical memory — the OS constantly swaps pages in and out and useful work drops dramatically.,Operating Systems,medium,6,35
os-m-5,What are the four necessary conditions for a deadlock to occur?,Mutual exclusion — hold and wait — no preemption — circular wait,Starvation — livelock — priority inversion — race condition,Mutual exclusion — FIFO — aging — round robin,Blocking — polling — sleeping — spinning,Mutual exclusion — hold and wait — no preemption — circular wait,Coffman's conditions state that deadlock requires all four: mutual exclusion hold-and-wait no preemption and circular wait. Preventing any one condition prevents deadlock.,Operating Systems,medium,6,35
os-m-6,What is the difference between preemptive and non-preemptive scheduling?,Preemptive uses more memory,In preemptive scheduling the OS can forcibly suspend a running process; in non-preemptive it cannot,Preemptive scheduling is only for I/O-bound processes,Non-preemptive scheduling is faster,In preemptive scheduling the OS can forcibly suspend a running process; in non-preemptive it cannot,Preemptive schedulers can interrupt a running process (e.g. when its time quantum expires) while non-preemptive schedulers let each process run until it voluntarily yields or completes.,Operating Systems,medium,5,30
os-m-7,What is the purpose of a Translation Lookaside Buffer (TLB)?,To cache frequently used files,To cache virtual-to-physical address translations for faster memory access,To buffer network packets,To store process IDs,To cache virtual-to-physical address translations for faster memory access,The TLB is a hardware cache that stores recent page table entries. On a TLB hit the CPU skips the page table walk — dramatically speeding up memory access.,Operating Systems,medium,6,35
os-h-1,Explain the Banker's algorithm. What type of deadlock strategy does it implement?,Deadlock detection,Deadlock prevention,Deadlock avoidance,Deadlock recovery,Deadlock avoidance,The Banker's algorithm is a deadlock avoidance strategy. Before granting a resource request it checks whether the system would remain in a safe state — if not the request is deferred.,Operating Systems,hard,9,45
os-h-2,What is priority inversion and how does priority inheritance solve it?,A high-priority process runs first; inheritance gives it more CPU,A low-priority task holding a lock blocks a high-priority task; priority inheritance temporarily raises the lock holder's priority,Priority is inverted when the scheduler fails; inheritance resets it,It only occurs in real-time systems and has no solution,A low-priority task holding a lock blocks a high-priority task; priority inheritance temporarily raises the lock holder's priority,Priority inversion occurs when a medium-priority task preempts a low-priority one that holds a lock needed by a high-priority task. Priority inheritance boosts the lock holder to prevent this.,Operating Systems,hard,9,50
os-h-3,What is the difference between internal and external fragmentation?,Internal wastes space inside allocated blocks; external wastes space between allocated blocks,Internal is on disk; external is in RAM,Internal is caused by paging; external is caused by segmentation only,They are the same thing,Internal wastes space inside allocated blocks; external wastes space between allocated blocks,Internal fragmentation occurs when allocated memory exceeds what the process needs (e.g. fixed-size pages). External fragmentation occurs when free memory is scattered in small non-contiguous chunks.,Operating Systems,hard,8,40
os-h-4,How does Copy-on-Write (COW) optimize the fork() system call?,It copies the entire process memory immediately,It shares pages between parent and child and copies only when either writes to a page,It avoids creating a child process,It compresses the memory before copying,It shares pages between parent and child and copies only when either writes to a page,COW marks shared pages as read-only after fork(). A write triggers a page fault which copies just that page — avoiding the cost of duplicating the entire address space upfront.,Operating Systems,hard,9,45
os-h-5,What is the difference between a monolithic kernel and a microkernel?,Monolithic kernels are smaller,A monolithic kernel runs all OS services in kernel space; a microkernel runs minimal services in kernel space and the rest in user space,Microkernels are faster because they have fewer features,Monolithic kernels don't support multitasking,A monolithic kernel runs all OS services in kernel space; a microkernel runs minimal services in kernel space and the rest in user space,Monolithic kernels (e.g. Linux) include drivers file systems and networking in kernel mode. Microkernels (e.g. Minix) keep only IPC scheduling and memory management in the kernel — other services run as user processes.,Operating Systems,hard,9,45
os-h-6,What is Bélády's anomaly in page replacement?,Adding more pages always reduces page faults,With FIFO replacement increasing the number of page frames can sometimes increase page faults,It only affects LRU replacement,It means pages are loaded in the wrong order,With FIFO replacement increasing the number of page frames can sometimes increase page faults,Bélády's anomaly is counterintuitive: for FIFO page replacement certain reference strings cause more page faults with more frames. Stack-based algorithms like LRU never exhibit this anomaly.,Operating Systems,hard,8,40
os-h-7,In a real-time operating system what is the difference between hard and soft real-time constraints?,Hard real-time is faster,Hard real-time requires deadlines to be met absolutely; soft real-time allows occasional deadline misses,Soft real-time is only for multimedia,Hard real-time doesn't use scheduling,Hard real-time requires deadlines to be met absolutely; soft real-time allows occasional deadline misses,In hard real-time systems (e.g. aircraft control) missing a deadline is a system failure. Soft real-time (e.g. video streaming) tolerates occasional misses with degraded quality.,Operating Systems,hard,8,40
cn-e-1,What does IP stand for in networking?,Internal Processing,Internet Protocol,Integrated Platform,Information Provider,Internet Protocol,The Internet Protocol (IP) is responsible for addressing and routing packets across networks to their destination.,Computer Networks,easy,1,15
cn-e-2,Which layer of the OSI model is responsible for end-to-end data transfer and error recovery?,Physical,Data Link,Transport,Application,Transport,The Transport layer (Layer 4) provides reliable end-to-end communication through segmentation flow control and error recovery — e.g. TCP.,Computer Networks,easy,2,20
cn-e-3,What is the purpose of DNS in networking?,To encrypt network traffic,To translate domain names into IP addresses,To assign MAC addresses,To route packets between networks,To translate domain names into IP addresses,The Domain Name System maps human-readable domain names (like google.com) to IP addresses so browsers can locate servers.,Computer Networks,easy,2,20
cn-e-4,What is the difference between TCP and UDP?,TCP is faster than UDP,TCP provides reliable ordered delivery while UDP is connectionless and faster but unreliable,UDP is used only for email,TCP does not use IP addresses,TCP provides reliable ordered delivery while UDP is connectionless and faster but unreliable,TCP ensures packets arrive in order with error checking and retransmission. UDP sends packets without guarantees — useful for real-time applications like video calls.,Computer Networks,easy,3,25
cn-e-5,What does a router do in a computer network?,Stores web pages,Forwards data packets between different networks based on IP addresses,Converts analog signals to digital,Provides wireless encryption,Forwards data packets between different networks based on IP addresses,A router examines the destination IP of each packet and forwards it toward its destination using routing tables.,Computer Networks,easy,2,20
cn-e-6,What is a MAC address?,A type of encryption key,A unique hardware identifier assigned to a network interface card,A software-assigned network address,The same as an IP address,A unique hardware identifier assigned to a network interface card,A MAC (Media Access Control) address is a 48-bit hardware address burned into a NIC — used for communication within a local network segment.,Computer Networks,easy,2,20
cn-e-7,What is a subnet mask used for?,To hide a computer's identity,To determine which portion of an IP address identifies the network vs. the host,To encrypt data packets,To measure network speed,To determine which portion of an IP address identifies the network vs. the host,A subnet mask separates the network prefix from the host portion of an IP address allowing routers to determine if a destination is local or remote.,Computer Networks,easy,3,25
cn-m-1,What is the three-way handshake in TCP?,A method to encrypt data,The SYN → SYN-ACK → ACK sequence used to establish a TCP connection,A way to terminate a connection,A routing protocol,The SYN → SYN-ACK → ACK sequence used to establish a TCP connection,The client sends SYN the server replies with SYN-ACK and the client confirms with ACK. This establishes a reliable connection before data transfer begins.,Computer Networks,medium,5,30
cn-m-2,What is the purpose of ARP (Address Resolution Protocol)?,To assign IP addresses,To resolve an IP address to a MAC address on a local network,To encrypt network traffic,To route packets across the internet,To resolve an IP address to a MAC address on a local network,When a host knows the destination IP but needs the MAC address for the local link it broadcasts an ARP request. The target replies with its MAC address.,Computer Networks,medium,5,30
cn-m-3,What is NAT (Network Address Translation) used for?,To speed up DNS lookups,To allow multiple devices on a private network to share a single public IP address,To encrypt VPN tunnels,To assign domain names,To allow multiple devices on a private network to share a single public IP address,NAT translates private IP addresses to a public IP for outgoing traffic and maps responses back — enabling many devices to access the internet through one public address.,Computer Networks,medium,5,30
cn-m-4,What is the difference between a hub and a switch?,They are identical devices,A hub broadcasts to all ports while a switch forwards frames only to the destination port,A switch is wireless and a hub is wired,Hubs are faster than switches,A hub broadcasts to all ports while a switch forwards frames only to the destination port,A hub is a simple repeater that sends incoming frames to every port. A switch learns MAC addresses and forwards frames only to the correct port — reducing collisions.,Computer Networks,medium,4,25
cn-m-5,What is CIDR notation and why is it used?,A type of encryption,A compact representation of IP address ranges (e.g. 192.168.1.0/24) that enables flexible subnetting,A routing protocol,A DNS record type,A compact representation of IP address ranges (e.g. 192.168.1.0/24) that enables flexible subnetting,CIDR (Classless Inter-Domain Routing) replaces the rigid Class A/B/C system allowing networks to be subdivided into subnets of any size by specifying the prefix length.,Computer Networks,medium,6,35
cn-m-6,How does DHCP assign IP addresses to devices on a network?,Manually by the administrator,Through a Discover-Offer-Request-Acknowledge (DORA) process,By reading the device's MAC address only,Using DNS lookups,Through a Discover-Offer-Request-Acknowledge (DORA) process,A DHCP client broadcasts a Discover message. The server responds with an Offer. The client sends a Request and the server confirms with an Acknowledge — dynamically assigning an IP.,Computer Networks,medium,5,30
